Feature,Mean,Median,Mode,Std_Dev,Variance,IQR,Range,Min,Max,Skewness,Kurtosis
Age,63.23919308357349,65.0,69.0,10.277809725686144,105.6333727574087,14.0,51.0,28.0,79.0,-0.8005424576690282,0.130098668559389
BMI,23.01649579097983,22.67995241,23.66524436,3.1926298656255936,10.192885458884495,3.844987624999998,21.40949148,16.14152893,37.55102041,1.0556963452029333,2.55517868686571
Brinkman Index,401.9308357348703,216.0,0.0,526.3571018526176,277051.79867068684,640.0,3200.0,0.0,3200.0,1.844626901781221,4.252721389992339
Alcohol,248.24407262247837,44.2,0.0,380.04425795438675,144433.63800410047,360.0,1953.0,0.0,1953.0,1.9936996700702287,4.206187848328953
Shannon,2.9763299007034663,3.007690356956997,1.3164544164302006,0.5562164960174436,0.3093767904419229,0.7613547419564703,2.928532437770719,1.3164544164302006,4.24498685420092,-0.2264510847993734,-0.010219854982237653
Richness,2799.6772334293946,2714.0,2220.0,729.7639214634967,532555.3810697806,796.5,4966.0,1051.0,6017.0,1.0315849396514662,2.3590691539673774
BF_Ratio,1.7464896176359863,1.4390950334295525,0.017528312608959356,1.2489347354442721,1.5598379733992542,1.3914688826830455,9.260197047919641,0.017528312608959356,9.277725360528601,1.9133489824155656,5.699336920853085
p__Bacteroidota,0.5242472617553973,0.5353458843433745,0.016044899275262776,0.15837219594552865,0.02508175244860892,0.22425907490127162,0.8379896439815182,0.016044899275262776,0.854034543256781,-0.4169381846924339,-0.004985769439061372
p__Firmicutes_A,0.32628502136469667,0.3144300741061643,0.03729288286572957,0.14099029749605235,0.01987826398802535,0.2076669732490472,0.7399298977056918,0.03729288286572957,0.7772227805714214,0.2991717446994713,-0.41485324752310193
p__Proteobacteria,0.048866431640985475,0.02041498717382635,0.0008798616377355948,0.0878106991637021,0.0077107188876181934,0.029468153327529376,0.7846357266620781,0.0008798616377355948,0.7855155882998137,4.6475318727584245,29.102974058894397
