,PC1,PC2,PC3
Age,0.0824781413919572,0.5052841614347051,-0.20194050091928895
BMI,-0.13086369309469936,0.11561983468684678,0.18887454241045082
Brinkman Index,-0.12639410774642196,0.43846850072679433,0.5452033994410799
Alcohol,-0.14567355368576826,0.15139094615894258,0.6539541113918218
Shannon,0.4643509655050532,-0.06469156224451279,0.16724922037765225
Richness,0.35339244073490983,-0.09770715727441528,0.2203777245847871
BF_Ratio,-0.45653828290194143,-0.11659864856566782,-0.06574790731557756
p__Bacteroidota,-0.4247483020395437,-0.29559349624147213,0.08430668989856854
p__Firmicutes_A,0.4574133000006342,-0.1146642929821498,0.11004684669257722
p__Proteobacteria,-0.017392760380069205,0.6231338367965051,-0.31394961027881685
